    25   476224000    40.02116472      116.37112521       50.25610733    -0.02847264       -0.04036138        0.05361830      16
    26   476225000    40.02116348      116.37112427       50.33772539    -0.00268902       -0.01019422        0.01315524      16
    27   476226000    40.02116147      116.37112424       50.32943934     0.01296827        0.00079894       -0.02580546      16
    28   476227000    40.02115967      116.37112323       50.30845311    -0.00528763       -0.01722228        0.00607465      16
    29   476228000    40.02115933      116.37112378       50.08268777    -0.01096797        0.00726817       -0.03092762      16
    30   476229000    40.02115713      116.37112249       50.38456268     0.00124732        0.00880749       -0.04562951      16
    31   476230000    40.02115921      116.37112511       49.77577003     0.02589984        0.02961184       -0.06702154      16
    32   476231000    40.02115781      116.37112512       49.75761978     0.01271914        0.01601061       -0.04266853      16
    33   476232000    40.02115635      116.37112501       49.72996238     0.04567841        0.05784180       -0.13712139      16
    34   476233000    40.02116755      116.37112834       54.49595665     0.01466374        0.01129576       -0.00933837      16
    35   476234000    40.02116733      116.37112815       54.43793047     0.02203568       -0.05093293       -0.05410846      16
    36   476235000    40.02116719      116.37112823       54.37828320     0.00487334       -0.00209339       -0.01843080      16
    37   476236000    40.02110997      116.37111798       46.77321597     0.01594530        0.03616087        0.02747190      16
    38   476237000    40.02115034      116.37113087       56.78996366    -0.01846625        0.00776923        0.06998395      16
    39   476238000    40.02114942      116.37113080       56.85346192    -0.02093673       -0.03524875       -0.05010065      16
    40   476239000    40.02114944      116.37113063       56.88956425    -0.00082084       -0.02011742       -0.07930495      16
    41   476240000    40.02114890      116.37113071       56.88400995     0.00017794        0.00015616       -0.02007557      16
    42   476241000    40.02114828      116.37113070       56.85793780    -0.00126129        0.03849903       -0.03292550      16
    43   476242000    40.02114715      116.37113070       56.92220503     0.00864670       -0.01346603        0.07698766      16
    44   476243000    40.02114669      116.37113071       56.94261932    -0.00779769        0.02938858       -0.00136615      16
    45   476244000    40.02114602      116.37113060       56.95536405     0.00201073       -0.00068799        0.01529938      16
    46   476245000    40.02114572      116.37113052       56.92964118    -0.00002427       -0.01511856        0.04339048      16
    47   476246000    40.02114547      116.37113049       56.93642691    -0.00452467        0.01848916        0.05283430      16
    48   476247000    40.02114519      116.37113057       56.90388987    -0.02930402        0.02672110        0.07730786      16
    49   476248000    40.02114496      116.37113049       56.93788005     0.00786179        0.00681878        0.04897467      16
    50   476249000    40.02114493      116.37113049       56.92112700    -0.00773482        0.06831846       -0.02774212      16
    51   476250000    40.02114493      116.37113051       56.91447171     0.00526932       -0.02894042        0.02393578      16
